Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-04-13,2023-04-13,7776,CAPITAL ONE ONLINE PYMT,Payment/Credit,,100.00
2023-04-03,2023-04-03,7776,INTEREST CHARGE:PURCHASES,Fee/Interest Charge,11.29,
2023-04-02,2023-04-03,7776,Amazon web services,Other Services,1.76,
2023-03-14,2023-03-14,7776,CAPITAL ONE ONLINE PYMT,Payment/Credit,,50.00
2023-03-03,2023-03-03,7776,INTEREST CHARGE:PURCHASES,Fee/Interest Charge,1.41,
2023-03-02,2023-03-03,7776,Amazon web services,Other Services,1.76,
2023-02-23,2023-02-24,7776,TM *PNK TRUSTFALL TOUR,Entertainment,381.82,
2023-02-18,2023-02-23,7776,U-HAUL-CTR-12TH-L #70221,Car Rental,99.10,
2023-02-15,2023-02-15,7776,CAPITAL ONE ONLINE PYMT,Payment/Credit,,152.84
2023-02-03,2023-02-03,7776,INTEREST CHARGE:PURCHASES,Fee/Interest Charge,3.77,
2023-02-02,2023-02-03,7776,Amazon web services,Other Services,1.76,
2023-01-12,2023-01-12,7776,CAPITAL ONE ONLINE PYMT,Payment/Credit,,200.00
2023-01-03,2023-01-05,7776,ROUND TABLE PIZZA 821,Dining,32.75,
2023-01-02,2023-01-03,7776,Amazon web services,Other Services,1.76,
2023-01-02,2023-01-03,7776,CT LOCKSMITH,Professional Services,312.80,

